name,rating,url
SLB,4.0,https://www.glassdoor.com/Reviews/SLB-Reviews-E588.htm
Santander,3.8,https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm
TEKsystems,3.9,https://www.glassdoor.com/Reviews/TEKsystems-Reviews-E23297.htm
Wayfair,3.2,https://www.glassdoor.com/Reviews/Wayfair-Reviews-E134525.htm
Credit Suisse,3.9,https://www.glassdoor.com/Reviews/Credit-Suisse-Reviews-E3141.htm
Abbott,3.8,https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm
Ericsson-Worldwide,3.7,https://www.glassdoor.com/Reviews/Ericsson-Worldwide-Reviews-E3472.htm
HCA Healthcare,3.3,https://www.glassdoor.com/Reviews/HCA-Healthcare-Reviews-E2062.htm
CSC,3.2,https://www.glassdoor.com/Reviews/CSC-Reviews-E169.htm
Sodexo,3.3,https://www.glassdoor.com/Reviews/Sodexo-Reviews-E10351.htm
Bath & Body Works,3.8,https://www.glassdoor.com/Reviews/Bath-and-Body-Works-Reviews-E13902.htm
IKEA,3.7,https://www.glassdoor.com/Reviews/IKEA-Reviews-E3957.htm
Deutsche Bank,3.9,https://www.glassdoor.com/Reviews/Deutsche-Bank-Reviews-E3150.htm
University of Michigan,4.3,https://www.glassdoor.com/Reviews/University-of-Michigan-Reviews-E3023.htm
United Airlines,4.0,https://www.glassdoor.com/Reviews/United-Airlines-Reviews-E683.htm
DISH,3.0,https://www.glassdoor.com/Reviews/DISH-Reviews-E4501.htm
Safeway,3.2,https://www.glassdoor.com/Reviews/Safeway-Reviews-E581.htm
Sherwin-Williams,3.8,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm
Adobe,4.4,https://www.glassdoor.com/Reviews/Adobe-Reviews-E1090.htm
PayPal,4.0,https://www.glassdoor.com/Reviews/PayPal-Reviews-E9848.htm
Gap,3.7,https://www.glassdoor.com/Reviews/Gap-Reviews-E114118.htm
NTT DATA,3.5,https://www.glassdoor.com/Reviews/NTT-DATA-Reviews-E7649.htm
