url,ceo_approval,friend_recommendation
https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm,72,67
https://www.glassdoor.com/Reviews/Wendy-s-Reviews-E728.htm,66,49
https://www.glassdoor.com/Reviews/Philips-Reviews-E3496.htm,70,66
https://www.glassdoor.com/Reviews/Progressive-Insurance-Reviews-E546.htm,87,71
https://www.glassdoor.com/Reviews/Dunkin-Reviews-E19153.htm,47,45
https://www.glassdoor.com/Reviews/PetSmart-Reviews-E2375.htm,48,50
https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm,89,85
https://www.glassdoor.com/Reviews/IQVIA-Reviews-E8347.htm,87,81
https://www.glassdoor.com/Reviews/SLB-Reviews-E588.htm,91,81
https://www.glassdoor.com/Reviews/Santander-Reviews-E828048.htm,82,71
https://www.glassdoor.com/Reviews/TEKsystems-Reviews-E23297.htm,74,78
https://www.glassdoor.com/Reviews/Wayfair-Reviews-E134525.htm,44,43
https://www.glassdoor.com/Reviews/Credit-Suisse-Reviews-E3141.htm,58,67
https://www.glassdoor.com/Reviews/Abbott-Reviews-E12.htm,86,71
https://www.glassdoor.com/Reviews/Ericsson-Worldwide-Reviews-E3472.htm,89,75
https://www.glassdoor.com/Reviews/HCA-Healthcare-Reviews-E2062.htm,57,54
https://www.glassdoor.com/Reviews/CSC-Reviews-E169.htm,51,48
https://www.glassdoor.com/Reviews/Sodexo-Reviews-E10351.htm,60,54
https://www.glassdoor.com/Reviews/Bath-and-Body-Works-Reviews-E13902.htm,79,70
https://www.glassdoor.com/Reviews/IKEA-Reviews-E3957.htm,73,65
https://www.glassdoor.com/Reviews/Deutsche-Bank-Reviews-E3150.htm,90,78
https://www.glassdoor.com/Reviews/DaVita-Reviews-E5367.htm,61,57
https://www.glassdoor.com/Reviews/Abercrombie-and-Fitch-Reviews-E6756.htm,83,64
https://www.glassdoor.com/Reviews/State-Street-Reviews-E1911.htm,79,68
https://www.glassdoor.com/Reviews/Cummins-Reviews-E187.htm,89,85
https://www.glassdoor.com/Reviews/American-Eagle-Outfitters-Reviews-E2642.htm,69,61
https://www.glassdoor.com/Reviews/Alorica-Reviews-E17814.htm,79,53
https://www.glassdoor.com/Reviews/LinkedIn-Reviews-E34865.htm,89,86
https://www.glassdoor.com/Reviews/USAA-Reviews-E3033.htm,46,52
https://www.glassdoor.com/Reviews/Pfizer-Reviews-E525.htm,85,80
https://www.glassdoor.com/Reviews/Trader-Joe-s-Reviews-E5631.htm,79,78
https://www.glassdoor.com/Reviews/Fujitsu-Reviews-E3524.htm,86,73
https://www.glassdoor.com/Reviews/Schneider-Electric-Reviews-E3956.htm,95,87
https://www.glassdoor.com/Reviews/ExxonMobil-Reviews-E237.htm,33,38
https://www.glassdoor.com/Reviews/Nokia-Reviews-E3494.htm,92,85
https://www.glassdoor.com/Reviews/Self-Opportunity-Reviews-E320925.htm,95,78
https://www.glassdoor.com/Reviews/Humana-Reviews-E340.htm,84,74
https://www.glassdoor.com/Reviews/Sephora-Reviews-E14590.htm,69,61
https://www.glassdoor.com/Reviews/Boston-Consulting-Group-Reviews-E3879.htm,93,86
https://www.glassdoor.com/Reviews/Olive-Garden-Italian-Restaurants-Reviews-E536862.htm,77,67
https://www.glassdoor.com/Reviews/TTEC-Reviews-E5944.htm,74,64
https://www.glassdoor.com/Reviews/Forever-21-Reviews-E13361.htm,59,45
https://www.glassdoor.com/Reviews/AECOM-Reviews-E5632.htm,82,74
https://www.glassdoor.com/Reviews/Caterpillar-Reviews-E137.htm,85,81
https://www.glassdoor.com/Reviews/Rite-Aid-Reviews-E565.htm,39,43
https://www.glassdoor.com/Reviews/JLL-Reviews-E5779.htm,88,76
https://www.glassdoor.com/Reviews/Michaels-Reviews-E945.htm,37,44
https://www.glassdoor.com/Reviews/FIS-Reviews-E313114.htm,56,67
https://www.glassdoor.com/Reviews/Kelly-Reviews-E1564.htm,69,65
https://www.glassdoor.com/Reviews/Fiserv-Reviews-E1384.htm,41,46
https://www.glassdoor.com/Reviews/NBCUniversal-Reviews-E32038.htm,67,82
https://www.glassdoor.com/Reviews/ServiceNow-Reviews-E403326.htm,96,90
https://www.glassdoor.com/Reviews/GSK-Reviews-E3477.htm,86,82
https://www.glassdoor.com/Reviews/Mphasis-Reviews-E29275.htm,83,68
https://www.glassdoor.com/Reviews/TJ-Maxx-Reviews-E242612.htm,74,58
https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm,93,87
https://www.glassdoor.com/Reviews/Ascension-Reviews-E1036988.htm,53,56
https://www.glassdoor.com/Reviews/Mastech-Digital-Reviews-E32469.htm,94,87
https://www.glassdoor.com/Reviews/Gartner-Reviews-E2465.htm,90,81
https://www.glassdoor.com/Reviews/Travelers-Reviews-E1904.htm,89,82
https://www.glassdoor.com/Reviews/Expedia-Group-Reviews-E9876.htm,87,80
https://www.glassdoor.com/Reviews/Office-Depot-Reviews-E1723.htm,45,46
https://www.glassdoor.com/Reviews/AIG-Reviews-E40.htm,70,64
https://www.glassdoor.com/Reviews/Goodwill-Reviews-E2802.htm,59,51
https://www.glassdoor.com/Reviews/Shell-Reviews-E5833.htm,79,83
https://www.glassdoor.com/Reviews/Xerox-Reviews-E747.htm,70,48
https://www.glassdoor.com/Reviews/Dollar-Tree-Reviews-E4033.htm,44,42
https://www.glassdoor.com/Reviews/University-of-Washington-Reviews-E3030.htm,80,81
https://www.glassdoor.com/Reviews/Yelp-Reviews-E43314.htm,71,59
https://www.glassdoor.com/Reviews/Charles-Schwab-Reviews-E144.htm,75,68
https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,76,66
https://www.glassdoor.com/Reviews/Pearson-Reviews-E3322.htm,78,72
https://www.glassdoor.com/Reviews/Vanguard-Reviews-E4084.htm,69,67
https://www.glassdoor.com/Reviews/Applebee-s-Reviews-E1453.htm,63,54
https://www.glassdoor.com/Reviews/Foundever-Reviews-E11480.htm,79,70
https://www.glassdoor.com/Reviews/GameStop-Reviews-E1162.htm,22,31
https://www.glassdoor.com/Reviews/CarMax-Reviews-E6561.htm,77,68
https://www.glassdoor.com/Reviews/Barnes-and-Noble-Reviews-E2439.htm,66,68
https://www.glassdoor.com/Reviews/Visa-Inc-Reviews-E3035.htm,92,82
https://www.glassdoor.com/Reviews/lululemon-Reviews-E42589.htm,89,84
https://www.glassdoor.com/Reviews/Genpact-Reviews-E42613.htm,91,79
https://www.glassdoor.com/Reviews/Merck-Reviews-E438.htm,91,84
https://www.glassdoor.com/Reviews/RSM-Reviews-E691963.htm,70,77
https://www.glassdoor.com/Reviews/Randstad-US-Reviews-E18424.htm,78,67
https://www.glassdoor.com/Reviews/The-Cigna-Group-Reviews-E119.htm,74,64
https://www.glassdoor.com/Reviews/Nielsen-Reviews-E3776.htm,70,69
https://www.glassdoor.com/Reviews/Adecco-Reviews-E1089.htm,75,70
https://www.glassdoor.com/Reviews/L-Or%C3%A9al-Reviews-E3470.htm,92,79
https://www.glassdoor.com/Reviews/Dillard-s-Reviews-E202.htm,53,45
https://www.glassdoor.com/Reviews/eBay-Reviews-E7853.htm,84,80
https://www.glassdoor.com/Reviews/Stryker-Reviews-E1918.htm,92,81
https://www.glassdoor.com/Reviews/Lumen-Reviews-E248324.htm,86,60
https://www.glassdoor.com/Reviews/UST-Reviews-E155577.htm,87,78
https://www.glassdoor.com/Reviews/Manpower-Reviews-E2548.htm,86,87
https://www.glassdoor.com/Reviews/Securitas-Reviews-E10656.htm,69,51
https://www.glassdoor.com/Reviews/Sanofi-Reviews-E9347.htm,85,78
https://www.glassdoor.com/Reviews/Unilever-Reviews-E3513.htm,94,87
https://www.glassdoor.com/Reviews/Yahoo-Reviews-E5807.htm,72,77
https://www.glassdoor.com/Reviews/KFC-Reviews-E7860.htm,70,57
https://www.glassdoor.com/Reviews/H-and-R-Block-Reviews-E303.htm,78,67
https://www.glassdoor.com/Reviews/BlackRock-Reviews-E9331.htm,87,78
https://www.glassdoor.com/Reviews/Fedex-Express-Reviews-E22767.htm,61,64
https://www.glassdoor.com/Reviews/Stanford-University-Reviews-E2989.htm,77,81
https://www.glassdoor.com/Reviews/Hollister-Co-Reviews-E466037.htm,74,62
https://www.glassdoor.com/Reviews/Novartis-Reviews-E6667.htm,81,78
https://www.glassdoor.com/Reviews/Bed-Bath-and-Beyond-Reviews-E1961.htm,28,44
https://www.glassdoor.com/Reviews/Conduent-Reviews-E1492856.htm,59,48
https://www.glassdoor.com/Reviews/Elevance-Health-Reviews-E925157.htm,77,70
https://www.glassdoor.com/Reviews/NYU-New-York-University-Reviews-E2917.htm,87,85
https://www.glassdoor.com/Reviews/Burlington-Stores-Reviews-E114.htm,54,43
https://www.glassdoor.com/Reviews/Jacobs-Reviews-E913.htm,87,80
https://www.glassdoor.com/Reviews/Merrill-Reviews-E440.htm,82,68
https://www.glassdoor.com/Reviews/Aon-Reviews-E53.htm,89,80
https://www.glassdoor.com/Reviews/Jimmy-John-s-Reviews-E15876.htm,68,66
https://www.glassdoor.com/Reviews/WTW-Reviews-E1122768.htm,87,75
https://www.glassdoor.com/Reviews/Farmers-Insurance-Group-Reviews-E3955.htm,37,52
https://www.glassdoor.com/Reviews/AutoZone-Reviews-E610.htm,61,56
https://www.glassdoor.com/Reviews/Massage-Envy-Reviews-E114803.htm,57,52
https://www.glassdoor.com/Reviews/Grant-Thornton-Reviews-E100134.htm,85,74
https://www.glassdoor.com/Reviews/Texas-Instruments-Reviews-E651.htm,93,84
https://www.glassdoor.com/Reviews/Samsung-Electronics-Reviews-E3363.htm,70,69
https://www.glassdoor.com/Reviews/Nationwide-Reviews-E2913.htm,84,77
https://www.glassdoor.com/Reviews/UCLA-Reviews-E32524.htm,80,78
https://www.glassdoor.com/Reviews/Cracker-Barrel-Reviews-E1308.htm,65,50
https://www.glassdoor.com/Reviews/Cintas-Reviews-E1256.htm,80,65
https://www.glassdoor.com/Reviews/Total-Quality-Logistics-Reviews-E134523.htm,87,78
https://www.glassdoor.com/Reviews/Hertz-Reviews-E4071.htm,56,48
https://www.glassdoor.com/Reviews/Centene-Reviews-E13542.htm,87,74
https://www.glassdoor.com/Reviews/RBC-Reviews-E3358.htm,86,71
https://www.glassdoor.com/Reviews/McKesson-Reviews-E434.htm,84,71
https://www.glassdoor.com/Reviews/MetLife-Reviews-E2899.htm,88,76
https://www.glassdoor.com/Reviews/Buffalo-Wild-Wings-Reviews-E8370.htm,60,53
https://www.glassdoor.com/Reviews/Zensar-Technologies-Reviews-E255019.htm,86,77
https://www.glassdoor.com/Reviews/Petco-Reviews-E37962.htm,44,41
https://www.glassdoor.com/Reviews/Hyatt-Reviews-E2839.htm,89,76
https://www.glassdoor.com/Reviews/Randstad-Reviews-E302306.htm,78,76
https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm,36,68
https://www.glassdoor.com/Reviews/Bayer-Reviews-E4245.htm,76,73
https://www.glassdoor.com/Reviews/Columbia-University-Reviews-E2748.htm,71,74
https://www.glassdoor.com/Reviews/Bain-and-Company-Reviews-E3752.htm,96,89
https://www.glassdoor.com/Reviews/Instacart-Reviews-E714486.htm,65,66
https://www.glassdoor.com/Reviews/New-York-City-Department-of-Education-Reviews-E105247.htm,57,60
https://www.glassdoor.com/Reviews/University-of-Pennsylvania-Reviews-E3025.htm,83,82
https://www.glassdoor.com/Reviews/UC-San-Diego-Reviews-E32523.htm,60,80
https://www.glassdoor.com/Reviews/Cleveland-Clinic-Reviews-E17787.htm,80,66
https://www.glassdoor.com/Reviews/Texas-A-and-M-University-Reviews-E1077312.htm,67,84
https://www.glassdoor.com/Reviews/GE-HealthCare-Reviews-E4112.htm,93,88
https://www.glassdoor.com/Reviews/UKG-Reviews-E7900.htm,71,68
https://www.glassdoor.com/Reviews/Micron-Technology-Reviews-E1648.htm,77,70
https://www.glassdoor.com/Reviews/Southwest-Airlines-Reviews-E611.htm,69,75
https://www.glassdoor.com/Reviews/Asurion-Reviews-E16924.htm,55,52
https://www.glassdoor.com/Reviews/The-Ohio-State-University-Reviews-E2923.htm,68,81
https://www.glassdoor.com/Reviews/UPMC-Reviews-E14679.htm,51,51
https://www.glassdoor.com/Reviews/Kmart-Reviews-E370.htm,68,61
https://www.glassdoor.com/Reviews/Leidos-Reviews-E730545.htm,83,75
https://www.glassdoor.com/Reviews/University-of-Texas-at-Austin-Reviews-E133952.htm,81,82
https://www.glassdoor.com/Reviews/Rocket-Companies-Reviews-E7856.htm,66,56
https://www.glassdoor.com/Reviews/Workday-Reviews-E197851.htm,81,82
https://www.glassdoor.com/Reviews/Genentech-Reviews-E274.htm,88,79
https://www.glassdoor.com/Reviews/Eaton-Reviews-E221.htm,86,78
https://www.glassdoor.com/Reviews/Prudential-Reviews-E2944.htm,79,71
https://www.glassdoor.com/Reviews/Food-Lion-Reviews-E16998.htm,60,53
https://www.glassdoor.com/Reviews/Western-Digital-Reviews-E1067.htm,65,64
https://www.glassdoor.com/Reviews/Nestl%C3%A9-Reviews-E3492.htm,89,83
https://www.glassdoor.com/Reviews/University-of-Southern-California-Reviews-E3027.htm,87,81
https://www.glassdoor.com/Reviews/NCR-Reviews-E4212.htm,72,64
https://www.glassdoor.com/Reviews/Publicis-Sapient-Reviews-E1646026.htm,87,73
https://www.glassdoor.com/Reviews/Life-Time-Reviews-E21088.htm,60,60
https://www.glassdoor.com/Reviews/Tata-Consultancy-Services-North-America-Reviews-E23279.htm,82,70
https://www.glassdoor.com/Reviews/Arizona-State-University-Reviews-E29302.htm,82,83
https://www.glassdoor.com/Reviews/Applied-Materials-Reviews-E1139.htm,92,84
https://www.glassdoor.com/Reviews/Urban-Outfitters-Reviews-E2372.htm,52,60
https://www.glassdoor.com/Reviews/EPAM-Systems-Reviews-E15544.htm,92,81
https://www.glassdoor.com/Reviews/Roche-Reviews-E3480.htm,91,87
https://www.glassdoor.com/Reviews/AstraZeneca-Reviews-E9214.htm,93,84
https://www.glassdoor.com/Reviews/Marshalls-Reviews-E155412.htm,75,60
https://www.glassdoor.com/Reviews/Disney-Parks-Reviews-E13843.htm,70,66
https://www.glassdoor.com/Reviews/Wegmans-Food-Markets-Reviews-E3042.htm,85,78
https://www.glassdoor.com/Reviews/Meijer-Reviews-E2894.htm,62,52
https://www.glassdoor.com/Reviews/United-States-Federal-Government-Reviews-E236635.htm,63,82
https://www.glassdoor.com/Reviews/Halliburton-Reviews-E307.htm,77,72
https://www.glassdoor.com/Reviews/SAIC-Reviews-E41130.htm,89,81
https://www.glassdoor.com/Reviews/Express-Employment-Professionals-Reviews-E11188.htm,86,70
https://www.glassdoor.com/Reviews/Northside-Hospital-Reviews-E20642.htm,86,87
https://www.glassdoor.com/Reviews/Chevron-Reviews-E13524.htm,90,85
https://www.glassdoor.com/Reviews/Keller-Williams-Reviews-E114145.htm,94,86
https://www.glassdoor.com/Reviews/Brookdale-Senior-Living-Reviews-E6433.htm,63,55
https://www.glassdoor.com/Reviews/New-York-Life-Reviews-E2915.htm,84,64
https://www.glassdoor.com/Reviews/Atos-Syntel-Reviews-E5304.htm,79,69
https://www.glassdoor.com/Reviews/Amgen-Reviews-E1130.htm,86,82
https://www.glassdoor.com/Reviews/University-of-Minnesota-Reviews-E3735.htm,73,83
https://www.glassdoor.com/Reviews/Paycom-Reviews-E136736.htm,63,62
https://www.glassdoor.com/Reviews/Panda-Express-Reviews-E5659.htm,80,60
https://www.glassdoor.com/Reviews/Aetna-Reviews-E16.htm,64,61
https://www.glassdoor.com/Reviews/Baylor-Scott-and-White-Health-Reviews-E4458.htm,81,76
https://www.glassdoor.com/Reviews/Chili-s-Grill-and-Bar-Reviews-E143310.htm,61,55
https://www.glassdoor.com/Reviews/Discover-Reviews-E13990.htm,79,73
https://www.glassdoor.com/Reviews/Quest-Diagnostics-Reviews-E6655.htm,54,57
https://www.glassdoor.com/Reviews/Harvard-University-Reviews-E2817.htm,88,83
https://www.glassdoor.com/Reviews/Kraft-Heinz-Company-Reviews-E1026712.htm,80,63
