,employer_name,rating
514,J.B. Hunt Transport,3.7
515,Warner Bros. Discovery,3.7
516,American Income Life,3.7
517,Great Clips,3.8
518,Estée Lauder Companies,3.8
519,Dow,4.0
520,Aflac,3.8
521,Sutherland,3.7
522,General Mills,4.1
523,University of Illinois at Urbana-Champaign,4.4
524,BAYADA Home Health Care,3.7
525,KeyBank,3.7
526,Express,3.3
527,Motorola Solutions,4.0
528,Baxter,3.7
529,Société Générale,3.4
530,CDW,4.0
531,Virtusa,3.8
532,WM,3.6
533,Toyota North America,3.9
534,Protiviti,4.1
535,Twitter,3.2
536,Regions Financial,3.6
537,Mars,4.3
538,J. Crew,4.0
539,Liveops,3.5
540,University of Wisconsin-Madison,4.3
541,Greystar,3.8
542,Yale University,4.2
543,Washington University in St. Louis,4.1
544,Hobby Lobby,3.3
545,GE Aerospace,3.9
546,Duke University,4.1
547,Larsen & Toubro,3.8
548,Takeda Pharmaceuticals,4.0
549,Patni Computer Systems,4.0
550,Red Hat,4.2
551,DocuSign,3.7
552,In-N-Out Burger,4.3
553,Avanade,4.2
554,Massachusetts General Hospital,4.0
555,Ricoh,3.5
556,First Student,3.9
557,American Automobile Association (AAA),3.4
558,Birlasoft,3.6
559,Circle K,3.2
560,Arby's,3.4
561,Gilead Sciences,3.8
562,Cognizant,3.8
563,Juniper Networks,4.3
564,O'Reilly Auto Parts,3.3
565,Ralph Lauren,3.8
566,Brigham Young University (BYU),4.5
567,Six Flags,3.5
568,Kiewit Corporation,3.8
569,MD Anderson Cancer Center,4.1
570,Capgemini Engineering,3.7
571,Mondelēz International,4.0
572,CACI International,4.0
573,Eurofins Scientific,3.3
574,University of Utah,4.2
575,"Williams-Sonoma, Inc.",3.3
576,Cyient,3.6
577,Uniqlo,3.4
578,Bloomingdale's,3.3
579,C.H. Robinson,3.6
580,WSP,3.7
581,Cornell University,4.4
582,SpaceX,3.9
583,Boston University,4.2
584,Foot Locker,3.7
585,ICON,3.7
586,FactSet,4.1
587,Edelman,3.6
588,Albertsons Companies,3.5
589,Shoprite Supermarkets,3.4
590,Everise,4.6
591,REI,3.9
592,Coforge,3.8
593,Anonymous Content,3.8
594,DSW,3.6
595,BDO USA,3.8
596,Sedgwick,3.3
597,Henkel,4.3
598,Collabera,3.8
599,Zillow,3.9
600,Wawa,3.8
601,Bright Horizons Family Solutions,3.6
602,Red Robin,3.4
603,"Blue Cross Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas | HCSC",3.9
604,UT Southwestern Medical Center,3.9
605,NIH,4.3
606,Express Scripts,3.2
607,Orangetheory Fitness,3.8
608,Love's Travel Stops & Country Stores,4.0
609,Booking.com,4.2
610,Michigan State University,4.3
611,The Salvation Army,3.5
612,Emory University,4.2
613,Rackspace Technology,3.6
614,GNC,3.2
615,BBVA,3.8
616,Power Home Remodeling,4.6
617,Netflix,4.2
618,Sunrise Senior Living,3.4
619,Baker Hughes,4.0
620,24 Hour Fitness,3.5
